sentiment,text
negative,i don't get how to play uno! 
negative,i have nothing to do! (even though the weather's great!) tomorrow german and biology exams 
negative,ready to get out the house! 
negative,i missed the jonas brothers on &quot;today show&quot; i was too busy sleeping haha  
negative,i have to sit in silence until about seven oclock when my brother gets home... i dont know how to work the tv 
negative," i loved up!! and yes, it was super sad...i'll admit i cried "
negative,hate that i'm getting sick again 
negative," bleh not much, princeton review for that sat's -___- i was grounded alllllll day     what are you up to?"
negative,"damn my friend lost her i'd and its so early ugh. and it wasn't hers, it qa her sister's. bummer. this just totally killed my night "
negative,rip mr zane  mis you darll  
negative,omg i'm fckin exhausted and i feel sick. 
negative,"back home, again #ubuntu fucked my day  ,waiting to gv f11 disk"
negative,"it's so cold outside, and it's rainy!!  plus my nose won't breathe, *aapchxi*."
negative," give or take a day or two, yeah...     i want this to be over with."
negative, so bitchy  you're breaking my heart flad.
negative, most of the ones i have seen arent too big cuz the well known bands dont come to norwich where i live  xx
negative, looks like there is a bigger issue with followers and following:  crap time for a competition 
negative,i wanted to go to sephora during my break tomorrow but i wont be able to  grrr
negative,  ooh an i had to give aleem a ride till gulshan  - and i totally forgot.  i am totally absentminded 
negative," at this stage, yes, it's a no go. "
negative,not sleeping well lately.  woke up at 4am??!!! wth 
negative,heading to the club peeps! i could really use some friends around me tonight so text a brotha!! 
negative, eff u for not saying me 
negative,wishes to read twitter updates but no time to do it 
negative, sadly no ive got to work 
negative,why so overcast phoenix?  depressing. its still 92 degrees though
negative,last sick day home 
negative,the temperature here in western pa fell into the 20's over night   wow that is cold for may
negative, that just makes me sickle.    lol kia.
negative,so behind in my rss feeds...400+ unread topics. 
negative, the prodigy are playing too  xxxxxxxxxxxxxxx
negative,"went to eat some chef boyardee ravioli tonight, only to find my wonderfully esteemed roommate ate them  i was totally craving raviolis"
negative,i am working 
negative," i'm good just chillin at home right now , gahh i can't wait till you all come back! "
negative,": i know, but i don't have the money for it just yet  .. do you know how much it's going to retail at?"
negative,gardening today (and yesterday) 
negative, sorry i still cant spell 
negative,"trying sooo hard to stay awake.  exhaustion setting in but please, just one more episode..."
negative,after almost three years working as an actuate programmer for ibm today is my final day as an employee.  no farewell lunch.  
negative,so i got my pastrami sandwich... but i forgot to ask for my mayo.  mannnn.
negative,i wish these exercise people would leave. i'm hiding in the bedroom like norman bate's non-existent mother. plus i need more medication 
negative, 
negative, i don't know. i may not be home tonight 
negative, are you shitting me??? who who who how how did you find out??? and no im not lying slutttt you look beautiful 
negative,needs to take malaria pills afterall 
negative, i just wanted to be able to send pics  lol. i noticed lol is not longer in caps. haha. now i think it looks funny
negative,"my littelist fish, udon, is dearly departed "
negative,finally home. watching  on kimmel and going to bed (sans chihuahua  )
negative,hate making resumes. 
negative,sad. no more mr. gokey 
negative, i really do likeyou stephano i am just wee bit upset that you have scheming with that nasty nicole against sami and ej 
negative, i only joined twitter about 2 months ago  if that
negative,i can't find mr. bouncer man on facebook 
negative,() my head hurts  i need a hug
negative,is feeling gutted after today's announcement 
negative, lol do it! i've crossed 1 off and added 2 more  i'm doing the quick ones now to make myself feel better 
negative,i ate some chinese food last night that totally didn't agree with me 
negative," you are too funny!! check out her blog post  i'm uninspired for blogging this week, but i miss it! "
negative," yes i have, 4 test next week! my father arrived from belaruss but he didn't find the ray ban that i wanted "
negative,i lost my voice.  i sound like froggy from the little rascals. i just want to crawl into bed and never come out.
negative,i have a plant that is loosing leaves like crazy. although the pot is big enough...it got a lot of light and i water it weekly??? 
negative,is going to miss out on seeing the life-sized gundam in odaiba by 11 days 
negative," yes, it wont let me log in "
negative,all alone on a friday night 
negative,looking for a nice alert tone for my ubertwitter.. can't find any though 
negative,#shuttle #nasa another hydrogen leak has been discovered 
negative, mines the diploma friggen scared kate. i have an in-class la essay tomorrow 
negative," no, don't skype, i wouldn't trust my isp enough to try "
negative,i'm feeling sick about missing day two! 
negative,  oh no! that's horrible! i hope he's okay! 
negative,delaying the inevitable... work in half an hour 
negative,i lost my flash drive!  i am so irritated with myself. my novel is on it. 
negative,when in sacramento... maybe i should order a &quot;washington appletini&quot;... getting a little homesick.  
negative,want a new-in-box dreamcast.. 
negative,wants a good movie to come on tv 
negative,"morning...ohhh so tired, 4yo was up coughing all night- 1hr straight, felt soo bad nothing i can give or do "
negative,*gasp* why is my throat so itchy... it better not be the flu because i took the jab! 
negative,is not looking forward to working today 
negative,"maybe i should get a macbook soon, is a 3 year old laptop due for retirement? "
negative,hangin out goin to get my nephew from school then taking my caity back 
negative,woke up with a massive headache 
negative,"lexington, north carolina is very boring. especially if your stuck here all summer. "
negative,feverish in the office 
negative, n/a 
negative,r.i.p hedra r.i.p i will always keep yu in my thouhgts 
negative, i'm so sorry.  that sad face is for real.
negative,"ach i'm back on t'internet, and  has to go drive her mate somewhere so is w'out internet "
negative,"well, g2g now  got a phyc appoint. bullucks, cnat stand them, well twitterers i give each and ever1 of u a hug xd xx #scarlettomcflylogo"
negative,"after a much needed &amp; fun vacay, i start summer school tomorrow, and i am not ready at all. "
negative,i'm all alone now  it's party time
negative,seths chain broke again!!! waiting on him to go get the car. we were halfway to olive garden 
negative," yes, but it didn't work. and the problem was not the plug. [ sorry my english...  ]."
negative, and i was gone send you an ole sweet twit from the bottom of my heart about mothers day 
negative,good morning twitter fam! am home this morning feeling sick 
negative,it's raining sooo hard! i can't even go out... i hope it stops or at least slows down a bit 
negative,soaked at mount vernon! got back to the hyatt early... one more day then we fly back 
negative,praying that my dear friend doesn't go to iraq 
negative,blah it's a monday again 
negative,"martabak , i'm full ! fat  but i love cheese"
negative, haha! they didn't sing that song 
negative, it's raining here 
negative,wants to see sam loadsss :@ 
negative,suks my mum took my phone off me   i wont b gettin no phone calls from short stack boo hoo
negative,bored to the max 
negative,feeling fat  major bad times but apprentice tonight = good times !
negative,"find's it soo difficult to have a lie in for some reason, had a proper awful nightmare  x"
negative, i can't believe we missed each other by a few days! 
negative,waking up. oversleeping because i don't wanna deal with today. just really bummed out. this rollercoaster life catches up to me at times. 
negative, nooooo i missed the personalised discount codes  i'm a gutted mama...
negative,so lonley  desperatly needs someone to spend the night
negative,i think this is gonna be another one of those nights that i'm up until 3.  i'm doing work. hug me?
negative,thinking about how i should have ordered the tropical passion tea instead 
negative,aw i jus remembered bernie mac died 
negative,: nope...haven't la. can't make it 2nite for 2015 either.  hey  u sent d pics 2 me dy?
negative,i miss my cycle 
negative, you been ignoring me for days now  
negative,so sad the magics lost  but kobe was good
negative,i still can't believe nadal lost!!!!!!!!   
negative,best way .. by myself 
negative,"our parking-lot guy jt is on vacation till 6/22, no free parking without a pass. "
negative,"laying down in bed with my hubby, finally attempting to sleep. wishing i wasn't in so much pain! "
negative,has been scared this morning by seeing his neighbour pegging her washing out in a very flimsy nighty  sssccaarryyyyy
negative,"and i had about 10 dreams  too much for my little head so now i'm a bit tired, unhealthily to sleep that long "
negative," thanks!!  my sister is initiating me to twitter!  it's fun!  you have a great day , too!  it's cloudy in ga "
negative, ohh that's not very nice!!! 
negative,omg i cant fall asleep bc i drank half a cup of orange soda ... 4hours ago 
negative,"wow, i'm tired. to bed at 1:30am, awake at 4:00am and back to work. ahhhhh "
negative, except for naked!arnolds groin. 
negative,got suspended from work 
negative,"i wait only one,you! "
negative, thanks so much boo!  you're think you're over certain things (or people) but you realize you're really not 
negative, wooohoooo! i hate bubbly ugh 
negative,has run out of t-shirts... 3 days before the end of the mission 
negative,"even though i usually forget about stuff after i've slept, i'm still bothered about something from last night.  hope i forget it later.."
negative, nice!  i'll def. look into it.  bc of the car accident i havent been able to go the gym 
negative, back from school. i'll miss everybody! i wish i was going to herman  i love everybody.
negative,my friendsz are going to travel to usa and i have no idea of what i am going to do that week  i am going to be so bored
negative,good morning all!im still high off of manny's 2min ko from lastnight!im also feelin betr.no swine flu!i think? 
negative,lunching (ps.: not good enough  )
negative,"i can't believe we're at this milstone in our lives! college flashed by too quickly!  so proud of amanda beth, my worst best girlfriend!"
negative, sorry to hear dat gurl! dats not too coo 
negative,terrible case of the hiccups. they hurt. 
negative, pleasssee call me first!!! i neeeed some advice!!!! i loove u!!! if u dnt then i ges night..... 
negative,lost my phone last night downtown 
negative," hi keviin, what ae you doing? peruu miss you . did you know? "
negative,bout to smoke a blunt to the face and knock out!! i fogot i got a court date tomo early  fuckin piiiigs!! gnite
negative,ok this is bad.. its a crazy throbbing headache on the left side of my head behind my ear.. its like nothing ive gotten before! 
negative,4 hours of sleep is just simply not enough... 
negative, i am at work on your birthday  but happy birthday! i thought it was yesterday?
negative,this years arts festival meh 
negative, when are you coming up to auckland? i might be away the week leading up to the gathering 
negative," btw u have over 36,000 followers woo hoo! i just realized dat my chances r getting slimmer 4 me 2 get a tweet from u "
negative,embarrassingly asks all the ladies...so these blisters from my new shoes...does that shit just stop hurting? just keep wearing them? wtf? 
negative,my baby bout to be sooo mad at me! he getting 4 shots for school! i sowwy tinkle butt! 
negative,"damn it sandwich lady, if i've told you once i've told you a thousand times - make more cheese and pickle ones....   "
negative,"bought local upslope ipa 6-pack yesterday. just bitter, not hoppy   prefer southern sun's fyipa."
negative,"video is processing, please don't mute it youtube "
negative,is mad because its beautiful outside and i dont have any plans  somebody come get me!
negative," i don't think you really answer this thing   hey, what denomination are you guys?  i love that you are so into god!!"
negative,don't feel good 
negative,fuck.... its hot... cant turn on the a/c 
negative,aid is off on both weekends but i doubt we'll be going out  
negative," its true, we love you britt! also did u see davey after the game? was he close to suicide? poor boy "
negative," may bastos? :| i don't want to be blamed for picking that movie. we watched hsm3 before, everyone hated me  okay thanks!"
negative,need more followers......i only have 9 followers ... used to be ten  
negative,i might have to turn on the air conditioner today.   - 
negative,  that's not very nice!!! (she says chuckling to herself)
negative, ur so lucky i havnt been able to go to the gym yet.  omg ive got a story for u from last night
negative,lol fml banned for 2 hrs and gossip girl changed the airing date to sept 14th at 8 instead of 7 
negative,always the entertainment.  just for me.
negative," thank you! that was nice! my mom just passed, it tough not have one to spend with! "
negative,is really wishing you would just let me go and let me fight this on my own...i'm tired of feeling like shit because of you!!! 
negative,"my mumma got me the new empire! and a pitta with greek salad in for lunch! having a good day, although no revision "
negative,i want my sleeve  erg i need money
negative,"so sad.. our very dear friend and brother, jan went to be with the angels today "
negative, paseee i miss u!
negative, i know 
negative,making myself some chicken noodle soup cos i can't sleep 
negative,"dear brain, ih8u for never letting me fall asleep at a decent time without sleep drugs. me &amp; 5:30am broke up, remember? ugh "
negative,i just might have to make an appearance at the apple store on knox street because they don't answer their phones. what's up with that? 
negative,  - i want one of those! wow my lawn isn;t that big 
negative, what causes the frustration buddy? 
negative,i have the hiccups &amp; i don't know how to make them go away  it's keeping me from writing. no bueno.
negative,i feel like a brooklyn dodgers fan in 1957 because chit is leaving dc 
negative, did you get it sorted? sometimes i think pp shoot themselves in their foot put up all the charges and then think ppl will stay 
negative,"poor little boy, sick with a high fever last night.  so pathetic "
negative, you stream when i'm not there 
negative,omg.. panicing !   math exam tomorow.  and guess what ?  i really suck at math.. hope i dont fail  studying right now anyways. ;)
negative,afraid i got a bearing problem on the left steer  it has been screamin at me but all mechanics say noooo its fine
negative,"poor , sunburns suck.  and poor ! ear aches suck!"
negative,sunny sunday! one last day of freedom before going away on youth camp. 
negative,"cool, his name's james too (i think). dad's gone to take the mother to work, so no talking - yay! just wood snapping and banging "
negative, haha yeah i know ur right 
negative,can't upload my pics  *sob*
negative,got my ass kicked at the pool function last night... i've never been so sore!!! 
negative,at home in the bed...i sick 
negative,it's time for work to be over now. i'm going braindead. i just want to go home and sleep (in front of a fan). 
negative," just added you on the playstation, still can't find your levels yet "
negative, hope you feel better  car accidents stress me out! in a week get a massage in! will help the little tears in your muscles.
negative,classes are over!!!(for the week  ) what i going to do??uuuummm lets c rest!but naw i have to find me something to do b4i kill over!
negative, lol. i think you may have just finished season 6 and i've only just started 5. it's hard cause i work the nights it's on 
negative,hugeeeeeee project for 2morrow. 
negative,is trying to get in the mind frame of starting my diet again 2morrow morning. 2 many 'reasons' to stray from it! 
negative, i think jane is back in georgia now for knee surgery  sorry!
negative, ridiculous! aren't we the most loyal customers who bought the iphone when it was $500?? we should get the best treatment. 
negative,catastrophe-my banana just took a dump.  on the office floor-major eew. guess i won't be eating that banana (i sense a theme here...)
negative,"~yawns~ grrrr darn the early starts! i don't like getting up before the sun, its cold "
negative,but annie didn't do anything 
negative,v.sad i had to bail on the party  stuuuuudy!
negative," hey i'll go if you go out tonight, but my gym buddy isn't going to be there unfortunately...miss ya already  "
negative, i think wharton is going to be the downfall of my summer 
negative, how do u put twitpics on miley? i have been trying for ageees 
negative,"wants to go to ppppremiere, but dosnt wanna make her dad drive to toronto, again cause he drove fri&amp;sat, and he'll be driving sunday too "
negative, its not so easy 
negative,going to dentist 
negative,it's raining outside...  good day for packing!
negative,up  / live action beck movie with hiro  / hinouchi getting fired from her company  / my computer taking 5min to open winamp 
negative,what were people in yorkshire thinking bnp really 
negative, i know what you mean man. bad times on the job front  i can't believe its been a year since we'd finished uni. keep at it mate. xxx
negative,just found out it's star wars day. may the 4th be with you. mwa hahaha. (i found it funny 
negative,"oh goodie, my brother is bothering me again. meh, he can't possibly be hungry right now, he just ate!!! meh... brb.. "
negative,i feel like i just ran a marathon even though i haven't done shit. blah uugghh 
negative, so i guess this means i can't call u at all tonight?! 
negative,i'm at home by myself and can't sleep bc of the scary storm 
negative,having the worst day ever and it doesn't end.  i just want this to be over to go home and hope to have a better day tomorrow. aarrrgh!! 
negative,leavin lil 5 points- frankie just got some fly kicks! they didn't have my size 
negative,"why must twitter and myspace be so addictive, no room for studying "
negative, awww its just gonna be one of those days for you aint it.. 
negative,watching tv gets boring sometimes 
negative,all alone for dinner tonight 
negative,went and saw my cousin bailey he is two but he was sleeping 
negative,"chinese lunch buffet: $4.50 - add a soda $1.25 - noticing the health inspection score of 81 as i walk out with my bag, priceless ..... "
negative," well that's just it, couldn't find any so they are now driving to tesco's 25 miles away to try and get something "
negative,3 tests and 3 days left of part 1 summer college  and no job. this is starting to suck
negative," oh let me know if you find one; i too have the worst problems with them, if i can even get into them, i can't get out "
negative,it wont let me change pics on twitter 
negative,thinkin 
negative,        my heart hurts badly...
negative,omg ... i'm sooooo slow today ... i just finished one page from this damn flyer ... and i have to do 7 more till tomorrow evening 
negative,best weekened ever...back to work 
negative, i know it's bad  hopyfully their insurance will cover it like it did last time.
negative,damnit missing another wine tasting... 
negative, can't kingdom on at 9  
negative,just fell down the stairs 
negative,ah....man....2.5 hours left till i have to go to work 
negative,damn...i can't believe it's over. until next year 
negative,so... the outing with the girls isn't happening.   sorry guys. but be on the look out for what's poppin tomorrow!
negative," yes i would, but i can't. big test tomorrow+5hours of sleep=i will fail "
negative,you fooled me! 
negative,"i have a 1,500-word deadline in 2 days, stacks of research materials are surrounding me, and i don't have a clue how to start  need coffee"
negative, i know!  i have to go and do the supermarket stuff now.   see you later on. 
negative,oh man!!! had a go at touch foot with da boys this morning to find out my foot is still messed up!!! i freaking hate injuries!!!!   hehe
negative,saw&amp;confronted guy who i thought keyed car month ago-he denied&amp;got veryangry.didn't end well &amp;only made me feel bad!  revenge nvr good.
negative,i am apparently a very angry person. 
negative, outlook not so good 
negative, noooo they can't run out of 3.0 until i say! i was irritated they didn't release it until after i left this am  #iphone #wtfami
negative,was really scared about the food fight that was supposed to happen today..... it didn't happen. ha ha guess i'm no looking forward to it 
negative, 
negative,my back hurts horriblely!!!!!!!!!!!! omg. it gives me a head ache when i touch it.  i hate cvs.
negative,"the iphone won't let me turn off all keyboards but emoji. when i do that, the us english keyboard pops up and the emoji turns off... "
negative,"iphone is partially broken.  there's a gap between the front &amp; back case on upper left side, &amp; the silence on/off slider doesn't work."
negative,"i've seriously been pondering getting a 32 gb iphone 3gs, but my contract with verizon is not up till 9/2010. "
negative,60% chance of rain   you sure you wanna come over for pool? xd weather.com says thunderstorms
negative,my internet is going crazy  can anyone see my profile pic or am i still a &quot;?&quot;
negative," just got another britney back myself, so whatever cleared them wasn't permanent "
negative,watching harpers island ugh im pissed i missed one whole week 
negative,reading up on some clicker training tips...about to go to work 
negative,i wish i was home in tehran  at least i could do sth so i wouldn't feel guilty!! ( - #iranelection
negative,"so so happy to be done with that lameeee college paper! although, i've yet to even tackle that mountain of packing...ay yi yiiiiiiiiii "
negative,standard edition of jira in promo: $5 registration failure:  finding out the $5 was for the enterprise edition: priceless.
negative, i'm starving but in one of those moods where i can't decide what i want so i'll go without for longer 
negative,i want some new toms. 
negative,"haha saturday wasnt as bad as i thout it was gonna b, but i still dnt hav any clear answers "
negative,note to self... never attempt to breathe in fire with julie and kouryn.. it could result in a burnt lip 
negative,hellfest cancelled... conference on embedded systems instead... they call it the 'embedded systems lunch'... 
negative,"is bored, and has to go to school "
negative,has rays and chrises to finish tonight. 
negative,  sorry sweetie
negative," i'm back in a publishing program &amp; have been busy with class  still on &quot;a heartbreaking work of staggering genuis&quot;, you?"
negative, not good right now.
negative, dallas...i can only afford one place 
negative, you're sooo lucky the sims 3 works on your computer... i bought it for nothing 
negative,is waiting for the telly man to turn up 
negative, i love the star pilots song you play and can't get it on itunes 
negative,day 6. plant...dead. 
negative,new iphone is sweet. my family is against them. 
negative,ohhh fml stuck at workk again... 
negative, actually not really. after exams. i have a few days off until summer school starts! i have 2 prep for my piano exam 2... 
negative,its sad when i dont want to call you bc i dont want to know when she is there  *s&amp;b*
negative,i dont wanna go to work!!!!!  id rather continue my fun n the sun wit @ and @  lmao. not puttin folk out there. yet! lmao
negative, i really cant  bit will you help me if i get stuck at maths &gt;
negative," well, they should be. "
negative,i want thursday to come already  i hate pe!!! #squarespace 
negative,at work      scotland doesn't really understand the whole bank holiday concept
negative,"how do i find out what style of glasses will suit my face, my personality and my work environtment? blergh, i need a glasses guide. "
negative, u shoulda been watchin family guy cant go wrong with that...kinda sad i missed it tho 
negative, i wish we still had discovery channel 
negative, i would in a second...but i'm in green bay 
negative,i wish i was enjoy this beautiful weather in ny  but i'm working. i hope to make up for it later
negative," no.  i dunno what to say. if you restore it, it should go back to factory settings and erase anything it didn't come with"
negative,"3 days of boredom coming up, nicks going on a golf trip "
negative, oh dear.  hope u feel better soon.  
negative,ronaldo gone to real  traitor  united need to sign new players soon otherwise we ain gunna win jack.
negative,watching recruits. they would have never got thru the interview process let alone be given a gun when i went thru 13 years ago. i'm sad 
negative,disappointed over sound quality at educamp09 - especially in some of the recordings. 
negative, fixable without downloading again? 
negative, what will i do when you leave?  we never had our arrested development/gumby's party 
negative,&quot;my monkey baby&quot;?!? my wrongometer's just exploded 
negative,drumming is too tiring  .. i may quit and switch to a harp?
negative, amm nt happi wt happened to i got yo bk... my day has nw bin ruined officially 
negative, i just started rereading the first book too  very nostalgic
negative, omggggggggggggggggggg is everyone seeing no doubt but me?!?!!? 
negative,is having issues with her ipod touch/wi-fi. 
negative," i voted for you! but, you're bad tom! you never answer me! i'm sending messages every day! but is always the same thing! "
negative,boo..at the pi house watching movies  kinda lame friday night
negative, whoop lol i have 22  but in 1 day so not bad lol
negative,why can't i just say it??... instead of being so scared...  
negative,i can't sleep  well....bye
negative," im jealous.  do you know, we did not have sinigang time at all last year!!!! "
negative, without me??? 
negative," i know.  it's ok though, i know that you wanted to but can't. lol."
negative,madd tired nd pissed cause my laptop has a virus 
negative, u and i both 
negative,so...this sucks!!! no one loves me  its cool still got asmile on my face!
negative,is agreeing to work 
negative,"studying for finals would be a good option, seeing as i have only today, wednesday and sunday to do so but i'm lazy. and a procrastinator "
negative,didnt get to watch pushingdaisies live tonight but have seen it. i thought it was wonderful and hope everyone enjoyed! only one more left 
negative,i've had a fever of 102.4 all night 
negative, awe..snow days 
negative,im very ill....again! stuck in bed not being able to enjoy the sunshine  x
negative, thats awesome nikkipoo! sorry i missed it 
negative," :o.. u r a mean, mean gurl  lol hmm... lets put aside their music.. what do u think about them as people?"
negative,"yes i arrived home, felling bad.   i want you girl, im very sorried, im soo fuzzy!"
negative,missing my weekend visitors all ready!  hurry up and get back here please?
negative,it's 2:30 in tha morning omg what an evenful night not in a good way either 
negative, who is mammy? 
negative,about to go to bed.. i'm tried and lonely since matthew went to sleep. 
negative,"  sorry chief! your off the next 2 days, so hit it then. oh and yeah, both you and ray are off!!! sucko!!!"
negative,a little diappointed in the nite but overall it was ok. time for sleep work all day tomorrow boo 
negative,thank goodness for having breakdown cover. got as far as the petrol station and now bike won't start 
negative, is dublin/ireland that expensive? me paying around 3 ï¿½ for a small beer in amsterdam. d*amned expensive ï¿½ prices everywhere! 
negative,this time last week we were leaving the venue &amp; going on our crazy jounrey back to the bus home. i miss ittt! 
negative,trying to watch service at guts but there's no sound 
negative,"all good things must come to an end- packing the bags, gathering kids toys, we are headed back home from vacation "
negative, aww no  sometimes i find pressing the back button gets me my post back! or is it in drafts?
negative,i miss you 
negative,"bummed. can't sleep with rachel, my throat hurts, i smell bad, and now i can't sleep. "
negative," i was telling a buddy about the link on facility9 re: server upgrade drinking game, but now i can't find it "
negative,"just woke up, super tired "
negative,marley's such a great dog. 
negative,already got my videos here but again even converted to avi windows player and windows movie maker do not have codec for that 
negative,"re-pinging : iheartradio----&gt; houston, texas----&gt; 94.5 the buzz:::iphone having problems today  "
negative,jb's youtube is suspended???  what the hell?? why.............  i wanted to show someone 'single ladies'
negative,"good morning! i had a really great weekend , , ,  but now back to a long wrk wk "
negative, yeah. jonathan told me himself. 
negative, jealous! i never got my bbq from you 
negative,bed time now 
negative," that's the problem with the fast growing ones. they tend to grow too fast and are weak, and tend to split in wind storms. "
negative, some seem to be sex twitter-ers. i feel like i'm drifting. 
negative,somebody is getting arrested a few houses down the street. i want to go watch but then it would seem like an episode of cops. 
negative,"one of my fingernails is breaking.  my nails were becoming impressively long, too.  time to snip! "
negative,  you making me want to put 1 or 2 in da air...  i gotta make a call....lol
negative, richie don't go silent on the gg's  you got a let off yesterday today you need to make up for it......  love ya x
negative,tired but can't sleep. watching joe sprawled out is not helping.  xoxo.
negative, one week ago.. i miss them so much it is so hard..  im listening turn right! (l)
negative,is baking in a traffic jam 
negative, too bad in most professions this is not true nowadays 
negative, so happy that salman won.  btw the 14sec clip is truely a teaser 
negative,i feel kinda barfy...   not good... must have been the pancakes and crown combo giving me the worst head&amp;stomachache
negative,"footie yesterday, pain today "
negative,my foot is sore  any sympathy tweets welcome..
negative,just can't seem to find the staff 
negative,jealous!  of brianmhite ad all the others who received their iphone 3g s today.   fools
negative,is mad that she isn't vacationing this weekend 
negative,just came from school 
negative, yeah....we gotta wait till next week 
negative, hmm. i don't think boyfriend would be happy if i brought a puppy home. but i really really want to. 
negative, thanks for following me back diana! and im voting for you every 20 minutes thats as often as u can 
negative, happy birthday katie!!  sorry about your car probs.   have a great time at the show tonight!!
negative,  please talk 2 me  im so like ur biggest fan try 2 write ya everyday!
negative,that's my piranhas sold... 
negative, yeah me too  i guess we'll have to see what happens... keep waiting as always... bz fans are used to that!
negative, you stole my phone charger 
negative, i have no kids so i cant go 
negative,ugh. sunny days = allergies for me. boooo 
negative, i heard that it now smells of sewage in france?? if thats true i feel  for you 
negative,now i'm hungry. 
negative,belle is dead  
negative,its gonna be a longggg day today. 
negative, but i reallyyyy don't wanna !!  i wanna go bak to sleep 
negative, i agree .. that was rather disgraceful 
negative, i guess im sad for somebody i kno 
negative,"home from waork, feet are killing me "
negative, it must be a horrible year for airplanes. i really do not want to get on one any time soon.there must be something in the air (literally)
negative, gasp! you hate popcorn?? 
negative, eeeeew... there goes a dollar 
negative,"to do: register for london classes, edit articles, call china publishers, wish dad and jason happy birthdays, make my wisdom teeth appt. "
negative, yes. not a normal one. a very dramatic one. silly face &amp; everything 
negative,next year 
negative," you know i would, but i'll be long gone by then  does cali even have good wings? haha"
negative,#iranelection someone should airdrop guns into iranian cities so protesters could protect themselves. 
negative, but it's the first time they do it in germany  (btw. hase=husband ;-))
